Дмитрий
Голоскок
3623bc5fca6cfa6d9f5d66af36879232
[6.4.2022 | 17:17:2] {"type":"cmd","data":"run"}
,[6.4.2022 | 17:17:2] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:2] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:2] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:2] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:2] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:2] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:2] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:2] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:3] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:3] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:3] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:3] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:3] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:3] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:3] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:3] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:3] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:3] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:4] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:4] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:4] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2022 | 17:17:4] {"client-id":"f2848231-37ec-4758-a368-bec80af68a42","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
